,,,,,,,,,,Order Date,Customer,Ship to Name,Start Date,Cancel Date,PO#,Item/Style,INVOICE #,Size,TOTAL PIECES,UOM,Cartons,CARTONS,weight w/out add,individual carton weight (add 2 lbs),cube in cm,Length,Width,Height,dimension,cube in cft,total cubes,PALLET,FINAL CUBE,TOTAL WEIGHT
,,,,,,,,,,,SENSUAL,MARSHALLS,03/24/2025,03/31/2025,02488020,QNA55010-100-6PS,417938,,"1,800.00",10,180.00,180,16,18.00,"4,104.00",23.2,12.2,14.5,2.38,0.31,427.51,7,910,3280.00
,,,,,,,,,,,SENSUAL,MARSHALLS,03/24/2025,03/31/2025,02488070,NK54813-650-5PB,417939,,"2,334.00",10,233.40,234,16,18.00,"4,140.00",15.7,14.9,17.7,2.40,0.31,559.26,9,1170,4252.00
,,,,,,,,,,,SENSUAL,MARSHALLS,03/24/2025,03/31/2025,02488070,NK54814-500-5PB,417939,,"2,412.00",10,241.20,242,18,20.00,"4,140.00",15.7,14.9,17.7,2.40,0.31,577.95,9,1170,4880.00
,,,,,,,,,,,SENSUAL,MARSHALLS,03/24/2025,03/31/2025,02488186,NA9664-653-9PB,417941,,"2,448.00",10,244.80,245,16,18.00,"2,268.00",16.9,13.7,9.8,1.31,0.31,321.44,5,650,4450.00
,,,,,,,,,,,SENSUAL,MARSHALLS,03/24/2025,03/31/2025,02488186,NA9664-061-9PB,417941,,"1,998.00",10,199.80,200,14,16.00,"2,268.00",16.9,13.7,9.8,1.31,0.31,262.35,5,650,3240.00
,,,,,,,,,,,SENSUAL,MARSHALLS,03/24/2025,03/31/2025,02488186,NZ54881-340-9PB,417941,,"2,376.00",10,237.60,238,18,20.00,"3,002.00",15.3,12.5,15.7,1.74,0.31,412.86,7,910,4800.00
,,,,,,,,,,,SENSUAL,MARSHALLS,03/24/2025,03/31/2025,02488186,QNA54908-250-9PS,417941,,"3,456.00",10,345.60,346,13,15.00,"3,205.00",19.7,15.8,10.3,1.86,0.31,641.20,10,1300,5230.00
,,,,,,,,,,,SENSUAL,MARSHALLS,03/24/2025,03/31/2025,02488186,NA9664-700-9PB,417941,,468.00,10,46.80,47,14,16.00,"2,268.00",16.9,13.7,9.8,1.31,0.31,61.45,1,130,792.00
,,,,,,,,,,,SENSUAL,T.J. MAXX,03/24/2025,03/31/2025,50488021,QNA54742-001-6PS,417943,,"1,728.00",10,172.80,173,18,20.00,"3,207.00",15.3,15.3,13.7,1.86,0.31,320.70,5,650,3500.00
,,,,,,,,,,,SENSUAL,T.J. MAXX,03/24/2025,03/31/2025,50488071,NK54813-342-5PB,417945,,"2,400.00",10,240.00,240,16,18.00,"4,140.00",15.7,14.9,17.7,2.40,0.31,575.08,9,1170,4360.00
,,,,,,,,,,,SENSUAL,T.J. MAXX,03/24/2025,03/31/2025,50488071,QNA54817-650-5PS,417945,,"1,944.00",10,194.40,195,14,16.00,"2,936.00",14.5,12.9,15.7,1.70,0.31,330.38,6,780,3160.00
,,,,,,,,,,,SENSUAL,T.J. MAXX,03/24/2025,03/31/2025,50488187,NA9669-340-9PD,417946,,"2,052.00",10,205.20,206,29,31.00,"4,026.00",20.4,12.9,15.3,2.33,0.32,478.13,8,1040,6426.00
,,,,,,,,,,,SENSUAL,T.J. MAXX,03/24/2025,03/31/2025,50488187,NA9664-061-9PB,417946,,"1,674.00",10,167.40,168,14,16.00,"2,268.00",16.9,13.7,9.8,1.31,0.31,219.81,4,520,2728.00
,,,,,,,,,,,SENSUAL,T.J. MAXX,03/24/2025,03/31/2025,50488187,QNA54908-500-9PS,417946,,"3,600.00",10,360.00,360,20,22.00,"3,748.00",15.3,12.5,19.6,2.17,0.31,780.94,13,1690,7960.00
,,,,,,,,,,,SENSUAL,T.J. MAXX,03/24/2025,03/31/2025,50488187,NA9664-700-9PB,417946,,360.00,10,36.00,36,14,16.00,"2,268.00",16.9,13.7,9.8,1.31,0.31,47.27,1,130,616.00
