Num,Ship Date,P. O. #,CANCEL DATE,Item,Qty,Ship To Address 1,Ship To Address 2,Ship To City,Ship To State,Ship Zip,STATUS,Ticketed,Class
417938,03/24/2025,02488020,03/31/2025,QNA55010-100-6PS,"1,800.00",Marshalls Distribution Center #882,3000 S. 55TH AVE,PHOENIX,AZ,85043,stock midas#2,NO,MIDAS
417939,03/24/2025,02488070,03/31/2025,NK54813-650-5PB,"2,334.00",Marshalls Distribution Center #882,3000 S. 55TH AVE,PHOENIX,AZ,85043,stock midas#2,NO,MIDAS
417939,03/24/2025,02488070,03/31/2025,NK54814-500-5PB,"2,412.00",Marshalls Distribution Center #882,3000 S. 55TH AVE,PHOENIX,AZ,85043,stock midas#2,NO,MIDAS
417941,03/24/2025,02488186,03/31/2025,NA9664-653-9PB,"2,448.00",Marshalls Distribution Center #882,3000 S. 55TH AVE,PHOENIX,AZ,85043,stock midas#2,NO,MIDAS
417941,03/24/2025,02488186,03/31/2025,NA9664-061-9PB,"1,998.00",Marshalls Distribution Center #882,3000 S. 55TH AVE,PHOENIX,AZ,85043,stock midas#2,NO,MIDAS
417941,03/24/2025,02488186,03/31/2025,NZ54881-340-9PB,"2,376.00",Marshalls Distribution Center #882,3000 S. 55TH AVE,PHOENIX,AZ,85043,stock midas#2,NO,MIDAS
417941,03/24/2025,02488186,03/31/2025,QNA54908-250-9PS,"3,456.00",Marshalls Distribution Center #882,3000 S. 55TH AVE,PHOENIX,AZ,85043,stock midas#2,NO,MIDAS
417941,03/24/2025,02488186,03/31/2025,NA9664-700-9PB,468.00,Marshalls Distribution Center #882,3000 S. 55TH AVE,PHOENIX,AZ,85043,stock midas#2,NO,MIDAS
417943,03/24/2025,50488021,03/31/2025,QNA54742-001-6PS,"1,728.00",T.J. MAXX DISTRIBUTION CENTER #50,11650 FM 1937,SAN ANTONIO,TX,78221,stock midas#2,NO,MIDAS
417945,03/24/2025,50488071,03/31/2025,NK54813-342-5PB,"2,400.00",T.J. MAXX DISTRIBUTION CENTER #50,11650 FM 1937,SAN ANTONIO,TX,78221,stock midas#2,NO,MIDAS
417945,03/24/2025,50488071,03/31/2025,QNA54817-650-5PS,"1,944.00",T.J. MAXX DISTRIBUTION CENTER #50,11650 FM 1937,SAN ANTONIO,TX,78221,stock midas#2,NO,MIDAS
417946,03/24/2025,50488187,03/31/2025,NA9669-340-9PD,"2,052.00",T.J. MAXX DISTRIBUTION CENTER #50,11650 FM 1937,SAN ANTONIO,TX,78221,stock midas#2,NO,MIDAS
417946,03/24/2025,50488187,03/31/2025,NA9664-061-9PB,"1,674.00",T.J. MAXX DISTRIBUTION CENTER #50,11650 FM 1937,SAN ANTONIO,TX,78221,stock midas#2,NO,MIDAS
417946,03/24/2025,50488187,03/31/2025,QNA54908-500-9PS,"3,600.00",T.J. MAXX DISTRIBUTION CENTER #50,11650 FM 1937,SAN ANTONIO,TX,78221,stock midas#2,NO,MIDAS
417946,03/24/2025,50488187,03/31/2025,NA9664-700-9PB,360.00,T.J. MAXX DISTRIBUTION CENTER #50,11650 FM 1937,SAN ANTONIO,TX,78221,stock midas#2,NO,MIDAS
