,,,,,,,,,,Order Date,Customer,Ship to Name,Start Date,Cancel Date,PO#,Item/Style,INVOICE #,Size,TOTAL PIECES,UOM,Cartons,CARTONS,weight w/out add,individual carton weight (add 2 lbs),cube in cm,Length,Width,Height,dimension,cube in cft,total cubes,PALLET,FINAL CUBE,TOTAL WEIGHT
,,,,,,,,,,,SENSUAL,MARSHALLS,03/24/2025,03/31/2025,02488020,QNA55010-100-6PS,417938,,"1,800.00",36,50.00,50,16,18.00,"4,104.00",23.2,12.2,14.5,2.38,2.67,133.75,3,390,1020.00
,,,,,,,,,,,SENSUAL,MARSHALLS,03/24/2025,03/31/2025,02488070,NK54813-650-5PB,417939,,"2,334.00",36,64.83,65,16,18.00,"4,140.00",15.7,14.9,17.7,2.40,2.70,175.23,3,390,1287.00
,,,,,,,,,,,SENSUAL,MARSHALLS,03/24/2025,03/31/2025,02488070,NK54814-500-5PB,417939,,"2,412.00",36,67.00,67,18,20.00,"4,140.00",15.7,14.9,17.7,2.40,2.70,180.62,3,390,1460.00
,,,,,,,,,,,SENSUAL,MARSHALLS,03/24/2025,03/31/2025,02488186,NA9664-653-9PB,417941,,"2,448.00",36,68.00,68,16,18.00,"2,268.00",16.9,13.7,9.8,1.31,1.61,109.65,2,260,1304.00
,,,,,,,,,,,SENSUAL,MARSHALLS,03/24/2025,03/31/2025,02488186,NA9664-061-9PB,417941,,"1,998.00",36,55.50,56,14,16.00,"2,268.00",16.9,13.7,9.8,1.31,1.61,90.30,2,260,968.00
,,,,,,,,,,,SENSUAL,MARSHALLS,03/24/2025,03/31/2025,02488186,NZ54881-340-9PB,417941,,"2,376.00",36,66.00,66,18,20.00,"3,002.00",15.3,12.5,15.7,1.74,2.04,134.46,3,390,1440.00
,,,,,,,,,,,SENSUAL,MARSHALLS,03/24/2025,03/31/2025,02488186,QNA54908-250-9PS,417941,,"3,456.00",24,144.00,144,13,15.00,"3,205.00",19.7,15.8,10.3,1.86,2.15,310.28,5,650,2360.00
,,,,,,,,,,,SENSUAL,MARSHALLS,03/24/2025,03/31/2025,02488186,NA9664-700-9PB,417941,,468.00,36,13.00,13,14,16.00,"2,268.00",16.9,13.7,9.8,1.31,1.61,20.96,1,130,248.00
,,,,,,,,,,,SENSUAL,T.J. MAXX,03/24/2025,03/31/2025,50488021,QNA54742-001-6PS,417943,,"1,728.00",36,48.00,48,18,20.00,"3,207.00",15.3,15.3,13.7,1.86,2.16,103.48,2,260,1040.00
,,,,,,,,,,,SENSUAL,T.J. MAXX,03/24/2025,03/31/2025,50488071,NK54813-342-5PB,417945,,"2,400.00",36,66.67,67,16,18.00,"4,140.00",15.7,14.9,17.7,2.40,2.70,180.62,3,390,1320.00
,,,,,,,,,,,SENSUAL,T.J. MAXX,03/24/2025,03/31/2025,50488071,QNA54817-650-5PS,417945,,"1,944.00",36,54.00,54,14,16.00,"2,936.00",14.5,12.9,15.7,1.70,2.00,107.95,2,260,944.00
,,,,,,,,,,,SENSUAL,T.J. MAXX,03/24/2025,03/31/2025,50488187,NA9669-340-9PD,417946,,"2,052.00",36,57.00,57,29,31.00,"4,026.00",20.4,12.9,15.3,2.33,2.63,149.90,3,390,1887.00
,,,,,,,,,,,SENSUAL,T.J. MAXX,03/24/2025,03/31/2025,50488187,NA9664-061-9PB,417946,,"1,674.00",36,46.50,47,14,16.00,"2,268.00",16.9,13.7,9.8,1.31,1.61,75.79,2,260,824.00
,,,,,,,,,,,SENSUAL,T.J. MAXX,03/24/2025,03/31/2025,50488187,QNA54908-500-9PS,417946,,"3,600.00",36,100.00,100,20,22.00,"3,748.00",15.3,12.5,19.6,2.17,2.47,246.90,4,520,2360.00
,,,,,,,,,,,SENSUAL,T.J. MAXX,03/24/2025,03/31/2025,50488187,NA9664-700-9PB,417946,,360.00,36,10.00,10,14,16.00,"2,268.00",16.9,13.7,9.8,1.31,1.61,16.12,1,130,200.00
