RTS ID,RTS Status,Load #,Wave #,Routed Date,Ready Date,Date of Pickup,Time of Pickup,Outbound BOL,Order Date,Customer,Ship To Name,Purchase Order No.,Cartons,Start Date,Cancel Date,BOL Cube,Final Cube,Burlington Cube,Pallet,Individual Pieces,Total Pieces,Individual Weight,Total Weight,Invoice No.,Style,Release,Assigned Trucking Co.
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,130,,1,24,1296,26.5,594.6,G13924,D05116LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,24,,26.5,,G13924,D05119LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,24,,26.5,,G13924,D05120LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,24,,26.5,,G13924,D05123LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,24,,26.5,,G13924,D05125LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,24,,26.5,,G13924,D05126LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,24,,26.5,,G13924,D05127LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,24,,26.5,,G13924,D05128LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,24,,26.5,,G13924,D05133LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,24,,26.5,,G13924,D05134LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,72,,26.5,,G13924,D05137LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,72,,27.2,,G13924,D05139LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,72,,27.2,,G13924,D05145LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,72,,27.2,,G13924,D05146LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,72,,26.5,,G13924,D05147LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,72,,27.2,,G13924,D05155LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,24,,16.3,,G13924,D05160LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,24,,20.8,,G13924,D05181LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,72,,6.2,,G13924,D05281LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,72,,6.2,,G13924,D05285LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,72,,6.2,,G13924,D05287LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,72,,6.2,,G13924,D05291LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,72,,6.2,,G13924,D05297LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,2,01252025,03252025,72.03,,,,72,,32.6,,G13924,D05789LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,2,01252025,03252025,72.03,,,,72,,32.6,,G13924,D05794LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,36,,17.6,,G13924,D05820LA,,
,,,,,,,,,02282025,,COOKIE'S,645373JH,1,01252025,03252025,72.03,,,,36,,17.6,,G13924,D05824LA,,
